age,bin,attri_mort,attri_mort_lower,attri_mort_upper
25,0,0,0,0
30,0,0,0,0
35,0,0,0,0
40,0,0,0,0
45,0,0,0,0
50,0,0,0,0
55,0,0,0,0
60,0,0,0,0
65,0,0,0,0
70,0,0,0,0
75,0,0,0,0
80,0,0,0,0
85,0,0,0,0
25,0.5,0,0,0
30,0.5,0,0,0
35,0.5,0,0,0
40,0.5,0,0,0
45,0.5,0,0,0
50,0.5,0,0,0
55,0.5,0,0,0
60,0.5,0,0,0
65,0.5,0,0,0
70,0.5,0,0,0
75,0.5,0,0,0
80,0.5,0,0,0
85,0.5,0,0,0
25,1,0,0,0
30,1,0,0,0
35,1,0,0,0
40,1,0,0,0
45,1,0,0,0
50,1,0,0,0
55,1,0,0,0
60,1,0,0,0
65,1,0,0,0
70,1,0,0,0
75,1,0,0,0
80,1,0,0,0
85,1,0,0,0
25,1.5,0,0,0
30,1.5,0,0,0
35,1.5,0,0,0
40,1.5,0,0,0
45,1.5,0,0,0
50,1.5,0,0,0
55,1.5,0,0,0
60,1.5,0,0,0
65,1.5,0,0,0
70,1.5,0,0,0
75,1.5,0,0,0
80,1.5,0,0,0
85,1.5,0,0,0
25,2,0,0,0
30,2,0,0,0
35,2,0,0,0
40,2,0,0,0
45,2,0,0,0
50,2,0,0,0
55,2,0,0,0
60,2,0,0,0
65,2,0,0,0
70,2,0,0,0
75,2,0,0,0
80,2,0,0,0
85,2,0,0,0
25,2.5,3.43E-06,2.81E-06,4.06E-06
30,2.5,4.79E-06,3.91E-06,5.66E-06
35,2.5,6.41E-06,5.24E-06,7.58E-06
40,2.5,8.01E-06,6.56E-06,9.47E-06
45,2.5,1.08E-05,8.83E-06,1.27E-05
50,2.5,1.52E-05,1.25E-05,1.80E-05
55,2.5,2.13E-05,1.75E-05,2.52E-05
60,2.5,3.11E-05,2.54E-05,3.67E-05
65,2.5,4.34E-05,3.54E-05,5.13E-05
70,2.5,6.44E-05,5.26E-05,7.62E-05
75,2.5,9.75E-05,7.96E-05,0.000115309
80,2.5,0.000143831,0.000117428,0.000170236
85,2.5,0.000421521,0.000344144,0.000498905
25,3,1.57E-05,1.28E-05,1.85E-05
30,3,2.08E-05,1.70E-05,2.46E-05
35,3,2.73E-05,2.23E-05,3.22E-05
40,3,3.50E-05,2.86E-05,4.13E-05
45,3,4.77E-05,3.90E-05,5.63E-05
50,3,6.81E-05,5.58E-05,8.05E-05
55,3,9.57E-05,7.84E-05,0.000113064
60,3,0.000139095,0.000113804,0.000164329
65,3,0.000197319,0.000161357,0.000233204
70,3,0.000293349,0.000239814,0.000346774
75,3,0.000447083,0.000365357,0.000528658
80,3,0.000674206,0.000550691,0.000797499
85,3,0.002023165,0.00165252,0.002393144
25,3.5,2.70E-05,2.21E-05,3.18E-05
30,3.5,3.53E-05,2.89E-05,4.16E-05
35,3.5,4.55E-05,3.73E-05,5.37E-05
40,3.5,5.83E-05,4.78E-05,6.88E-05
45,3.5,7.97E-05,6.53E-05,9.40E-05
50,3.5,0.000114604,9.39E-05,0.000135217
55,3.5,0.000161676,0.000132442,0.000190796
60,3.5,0.000233518,0.000191213,0.000275659
65,3.5,0.000330618,0.000270572,0.000390439
70,3.5,0.00049164,0.000402216,0.000580742
75,3.5,0.000750716,0.00061391,0.000887045
80,3.5,0.001141876,0.000933263,0.001349825
85,3.5,0.003486423,0.00284948,0.004121336
25,4,3.80E-05,3.11E-05,4.48E-05
30,4,5.06E-05,4.15E-05,5.96E-05
35,4,6.57E-05,5.38E-05,7.74E-05
40,4,8.30E-05,6.81E-05,9.79E-05
45,4,0.000113079,9.27E-05,0.000133317
50,4,0.000162553,0.000133295,0.00019165
55,4,0.00022853,0.000187341,0.000269497
60,4,0.000333382,0.000273173,0.000393273
65,4,0.000471451,0.000386084,0.00055638
70,4,0.000697239,0.000570783,0.000823065
75,4,0.001060999,0.000868182,0.001252906
80,4,0.001608951,0.001315746,0.001900906
85,4,0.004848495,0.003964931,0.005728296
25,4.5,5.13E-05,4.21E-05,6.05E-05
30,4.5,7.00E-05,5.74E-05,8.25E-05
35,4.5,9.17E-05,7.52E-05,0.000108088
40,4.5,0.000114502,9.40E-05,0.000134906
45,4.5,0.000154071,0.000126425,0.000181522
50,4.5,0.000219617,0.000180205,0.000258757
55,4.5,0.000308145,0.000252766,0.00036315
60,4.5,0.00044918,0.000368286,0.000529538
65,4.5,0.000628636,0.000515123,0.000741427
70,4.5,0.000929366,0.000761258,0.001096445
75,4.5,0.001400844,0.001146907,0.001653307
80,4.5,0.002090858,0.001710718,0.002468992
85,4.5,0.006147092,0.005029484,0.007258807
25,5,6.40E-05,5.25E-05,7.53E-05
30,5,8.69E-05,7.13E-05,0.000102327
35,5,0.000113452,9.31E-05,0.000133604
40,5,0.000142065,0.00011664,0.000167274
45,5,0.000190779,0.000156646,0.000224628
50,5,0.000271404,0.000222837,0.000319575
