year,age,cause,lossvsl_percapita_mean,lossvsl_percapita_lower,lossvsl_percapita_upper,lossvsly_percapita_mean,lossvsly_percapita_lower,lossvsly_percapita_upper,lossvslage_percapita_mean,lossvslage_percapita_lower,lossvslage_percapita_upper,lossvslyage_percapita_mean,lossvslyage_percapita_lower,lossvslyage_percapita_upper
2000,25,COPD,0.757718128,0.238345527,1.624181079,0.759880006,0.239464511,1.626651496,0.23111264,0.072671151,0.496512166,0.525623847,0.164851727,1.128935515
2001,25,COPD,0.741192718,0.234373198,1.589593933,0.743136015,0.235434124,1.59147194,0.226415933,0.071587543,0.486258126,0.511303149,0.161668836,1.099765798
2002,25,COPD,0.766878894,0.246501124,1.633438253,0.769692463,0.247833375,1.63689039,0.234315493,0.075285615,0.499655965,0.532937645,0.170927756,1.137154891
2003,25,COPD,0.80072313,0.260302611,1.689712365,0.803693602,0.261688959,1.693490848,0.244694725,0.079483539,0.517134228,0.555883134,0.180550945,1.177336146
2004,25,COPD,0.785927192,0.256685491,1.659698711,0.787669284,0.257600092,1.661168177,0.23890189,0.077913667,0.505426949,0.543533361,0.176923737,1.150001237
2005,25,COPD,0.800595657,0.264863628,1.673545368,0.807948913,0.267714728,1.686359868,0.250152002,0.082716842,0.523243075,0.568292769,0.187916447,1.190378652
2006,25,COPD,0.782716406,0.26058155,1.635223581,0.790579106,0.263574102,1.649193188,0.245533437,0.081649601,0.513568321,0.559621214,0.185515913,1.172095413
2007,25,COPD,0.737484316,0.244659634,1.544094212,0.743603774,0.247066748,1.554583085,0.228670041,0.07580521,0.479255009,0.522671119,0.172739928,1.098477855
2008,25,COPD,0.750721026,0.249867361,1.564072963,0.756313588,0.252093926,1.573392238,0.233009335,0.077472754,0.485960868,0.532220367,0.176478631,1.113312426
2009,25,COPD,0.706443381,0.232598537,1.487153878,0.712271535,0.234896358,1.497271802,0.219949149,0.072403495,0.463464581,0.498094488,0.163633105,1.051426818
2010,25,COPD,0.681604701,0.221832579,1.446127145,0.692149141,0.225734005,1.465745544,0.217634112,0.070977601,0.461416917,0.493974629,0.160576832,1.050199133
2011,25,COPD,0.60413826,0.195590023,1.283381859,0.613834728,0.199151818,1.301550992,0.192933917,0.062583308,0.409629855,0.438709614,0.142035007,0.933920546
2012,25,COPD,0.648462552,0.208267724,1.382610454,0.657749173,0.211673307,1.400173005,0.205501991,0.066084603,0.43825899,0.470789828,0.151147131,1.005753059
2013,25,COPD,0.640324997,0.205750954,1.366804054,0.649953151,0.209248898,1.38510093,0.203467241,0.065473155,0.43439167,0.46351192,0.149006973,0.990367023
2014,25,COPD,0.594872668,0.188220033,1.286222459,0.605204073,0.191889729,1.306327611,0.19064017,0.060451681,0.412076343,0.433541683,0.137252396,0.938804147
2015,25,COPD,0.668413142,0.211050515,1.435548974,0.681896574,0.215680609,1.462382596,0.216059939,0.068309184,0.464123321,0.488715651,0.15366733,1.051601223
2016,25,COPD,0.618553939,0.193625157,1.336447587,0.631074005,0.197849524,1.361698263,0.200175397,0.062722759,0.43280951,0.452067885,0.140863868,0.979607798
2000,30,COPD,1.21658367,0.387747697,2.592637429,1.184968446,0.378288014,2.521860492,0.539253057,0.172409931,1.146883364,0.949004643,0.301760912,2.02750695
2001,30,COPD,1.181077107,0.379123973,2.510075511,1.150450304,0.36989123,2.441683398,0.522022956,0.168139065,1.106712441,0.91630348,0.293813009,1.953081207
2002,30,COPD,1.187290614,0.385789218,2.505036016,1.158117449,0.376921397,2.440041076,0.526005562,0.17153092,1.106930531,0.925718868,0.299998874,1.957802544
2003,30,COPD,1.228743973,0.406068696,2.579244345,1.198364806,0.396580762,2.512070846,0.543930998,0.18026919,1.138932166,0.956454751,0.315373356,2.013566964
2004,30,COPD,1.208798617,0.398507765,2.538771896,1.177257068,0.388595108,2.469582904,0.531933642,0.175813194,1.114886489,0.935949654,0.307274216,1.970439586
2005,30,COPD,1.233402146,0.411420785,2.558978763,1.209539665,0.404038862,2.505881787,0.557983665,0.186715947,1.154306347,0.98035769,0.326842453,2.041118149
2006,30,COPD,1.204982638,0.404945961,2.494754476,1.182555592,0.397949606,2.444923656,0.548322465,0.184711518,1.13273733,0.964336663,0.323428967,2.006104331
2007,30,COPD,1.129483151,0.376968691,2.34900013,1.106640301,0.369869132,2.298117968,0.508211952,0.170060276,1.054432817,0.896353335,0.297919459,1.873355764
2008,30,COPD,1.159600617,0.388962113,2.402571111,1.135233837,0.381343674,2.348841685,0.521256113,0.175260129,1.077753176,0.920730506,0.307459705,1.918033205
2009,30,COPD,1.09573904,0.363665029,2.280923568,1.07501989,0.357337639,2.234760629,0.494531935,0.164661613,1.026893413,0.867254092,0.287034596,1.811528453
2010,30,COPD,1.069789039,0.348466829,2.248676254,1.056303647,0.344814564,2.216180882,0.494698227,0.161921296,1.036065723,0.869948517,0.282481993,1.834405894
2011,30,COPD,0.952360676,0.310107636,2.011520542,0.941370041,0.307147853,1.984853729,0.441172184,0.144292408,0.928480114,0.777119647,0.252564316,1.646597097
2012,30,COPD,1.025693754,0.329370362,2.182884365,1.011250856,0.325328258,2.149019464,0.472102065,0.152280261,1.001704876,0.836205527,0.26799732,1.785343649
2013,30,COPD,1.013101648,0.323823747,2.15565468,1.00012592,0.320229525,2.125236528,0.466546641,0.149780978,0.989944626,0.824124327,0.26320581,1.757086723
2014,30,COPD,0.938412263,0.295299946,2.021780453,0.928968438,0.292929755,1.998307864,0.435881883,0.137903715,0.935875165,0.768563215,0.241958005,1.66017172
2015,30,COPD,1.051353942,0.329560026,2.26769766,1.04474239,0.328018357,2.250346381,0.493473752,0.155349354,1.061436318,0.865004168,0.270394484,1.872539209
2016,30,COPD,0.972627533,0.302336238,2.108801555,0.966945004,0.30104793,2.093969082,0.456986431,0.142666184,0.988252751,0.800710849,0.248146322,1.743399459
