year,cause,country_iso3c,death_mean,death_lower,death_upper,YLL_mean,YLL_lower,YLL_upper,lossvsl_mean,lossvsl_lower,lossvsl_upper,lossvsly_mean,lossvsly_lower,lossvsly_upper,lossvslage_mean,lossvslage_lower,lossvslage_upper,lossvslyage_mean,lossvslyage_lower,lossvslyage_upper
2000,COPD,AFG,353.692933,78.89273632,1025.192283,4506.96576,914.3048817,14859.96411,17772592.45,3949930.711,51697019.01,9271712.005,2040057.377,27804690.64,6950047.438,1539159.503,20805830.62,7419295.4,1548504.629,23249580.84
2001,COPD,AFG,505.8203866,114.6776516,1442.643571,6473.158631,1338.085309,20924.43161,26474486.2,5980251.098,75761649.31,13843030.06,3100568.02,40759822.36,10371734.78,2336726.178,30487562.8,11082302.39,2347984.546,34141277.62
2002,COPD,AFG,503.5422409,114.8432023,1426.318431,6500.177177,1354.009357,20864.66807,27235410.91,6188711.174,77408080.13,14294596.89,3221163.893,41820283.26,10648426.94,2413181.844,31124513.7,11364823.38,2463245.859,35137582.43
2003,COPD,AFG,556.9348043,128.3935785,1557.701851,7251.59144,1530.457273,22904.41743,30951757.8,7109985.911,86865957.29,16304678.57,3716999.419,47063872.46,12102327.14,2776958.398,34904487.31,12910304.8,2832611.042,39404890.82
2004,COPD,AFG,559.6644573,129.8147399,1550.621448,7345.946227,1560.165476,22982.2997,29074721.86,6720728.838,80823694.54,15369300.11,3524757.723,43990162.45,11379325.93,2624979.417,32540544.05,12123074.9,2665850.823,36648402.42
2005,COPD,AFG,554.8470708,129.3656839,1521.760952,7361.565191,1571.235081,22821.36932,30455957.05,7076303.649,83803702.46,16199332.08,3729502.292,45947559,11987505.42,2773125.728,33980596.06,12771701.48,2828034.863,38210948.31
2006,COPD,AFG,560.3226248,131.9928862,1526.808621,7487.027256,1620.077152,22984.38789,30555891.79,7174333.949,83538504.88,16330434.9,3805436.066,45993544.77,12169247.9,2852824.142,34227438.21,12921495.41,2891859.058,38146413.43
2007,COPD,AFG,552.6177513,131.367946,1496.867818,7439.177155,1624.666084,22637.54455,33316088.41,7894150.141,90521768.91,17869012.07,4201556.04,49962479.04,13344483.42,3154977.289,37255107.47,14084329.92,3154513.429,40808278.56
2008,COPD,AFG,661.8041348,161.51208,1751.095408,8976.892317,2007.925481,26669.41667,40761334.65,9914162.543,108196126,21936449.68,5286193.507,59892804.04,16405109.39,3973901.418,44689052.4,17332445.31,4032884.909,49314650.02
2009,COPD,AFG,559.3372536,136.3749441,1483.612366,7643.428721,1701.767965,22768.36457,44248427.01,10754486.85,117730165.1,23906110.29,5741848.054,65416978.46,17790056.04,4295688.755,48561391.05,18756657.03,4329088.328,53366480.21
2010,COPD,AFG,664.766886,165.1479257,1733.551596,9064.270464,2060.714394,26529.244,58132992.89,14398707.59,152032447.2,31310175.58,7669288.426,84186986.81,23249144.28,5729957.005,62347583.75,24499711.81,5772681.458,68381252.47
2011,COPD,AFG,649.5322753,161.4798113,1683.998389,8919.465459,2026.305492,25868.17228,54069119.23,13401497.79,140586420,29207127.71,7148376.894,77946328.34,21624101.89,5323006.516,57546305.07,22808302.16,5387740.88,63009488.41
2012,COPD,AFG,730.0383435,185.3811143,1858.290217,10082.85714,2333.904464,28746.70482,66876743.83,16933273.77,170707170.8,36217469.06,9031994.774,94963020.24,26774977.2,6713870.477,69990869.47,28029448.3,6723667.271,76024505.11
2013,COPD,AFG,704.5647026,179.7483876,1790.651627,9783.111611,2276.721732,27917.37541,65397943.89,16635846.37,166677148.4,35489483.04,8882164.153,92942476.63,26293352.4,6619006.888,68687906.22,27539498.34,6653301.697,75135019.81
2014,COPD,AFG,698.1551957,180.9995299,1767.173701,9715.477614,2299.089321,27602.16747,63248860.53,16350316.14,160536024.4,34379043.14,8751922.834,89613582.53,25538114.95,6545329.877,66440195.9,26597969.41,6511594.049,72214815.92
