country_abb,loss2000,loss2016,pop_growth_effect,pop_aging_effect,baseline_mort_effect,exposure_effect,GDP_effect
AFG,778579007.7,1845760690,0.682701657,-0.246272919,-0.989484499,0.074080567,1.84965392
AGO,2330825481,3151741828,0.650837801,-0.010331783,-1.159139993,0.056993532,0.813840278
ALB,338300347.1,751067743.1,-0.068930657,0.264470999,-0.338059684,-0.126086007,1.488726462
AND,52695043.97,31156743.7,0.112737031,0.247696015,-0.158506371,-0.671948604,0.061287089
ARE,8923807516,27546789839,2.059042409,1.03467573,-0.427557387,0.386093518,-0.965366775
ARG,11361959458,22083608150,0.186247899,0.148955882,-0.206874585,0.447189213,0.368125927
ARM,279552960.1,1185647491,-0.01408675,0.21971942,-0.274364628,0.328937864,2.981020839
ASM,0,0,NA,NA,NA,NA,NA
ATG,3606827.61,8419629.027,0.239153162,0.238767639,-0.326426275,0.464510022,0.718354046
AUS,6797210304,8281083388,0.271068075,0.244642951,-0.349711173,0.227042175,-0.174735838
AUT,15030591168,15243844415,0.063878172,0.221013372,-0.341542252,-0.002998229,0.073836884
AZE,1645128761,7003835695,0.210233776,0.118513844,-0.724645843,0.017764608,3.635451254
BDI,169820341.9,139483174.9,0.679051946,0.081784912,-1.177352302,0.199965385,0.037907344
BEL,20492279131,20107197022,0.101871685,0.161019802,-0.318137312,-0.04802582,0.084480074
BEN,488167359.7,689273281.5,0.591630671,-0.051077004,-0.888751007,0.027410694,0.732747662
BFA,727536246.9,959382833,0.602872886,-0.049497953,-0.988565565,0.012310701,0.741553519
BGD,8378921637,17676186761,0.240842243,-0.108084506,-0.714334617,0.094376766,1.596801747
BGR,4735348303,7898058183,-0.102558601,0.178976957,-0.232473263,-0.060976099,0.884924828
BHR,452033052.8,534212657.2,1.200993919,0.461466685,-1.44648744,0.034515401,-0.068688575
BHS,106132489.6,46227521.25,0.308271137,0.422903889,-0.276493055,-0.476602416,-0.542515276
BIH,871552377.1,1674103183,-0.001533917,0.406827176,-0.135669054,-0.202103438,0.85330835
BLR,4858931523,8671800013,-0.049370561,0.162610142,-0.308660426,0.001604468,0.978529738
BLZ,20498301.69,18720932.87,0.471164381,0.202196732,-0.405113892,-0.486601828,0.131646505
BMU,NA,NA,NA,NA,NA,NA,NA
BOL,343823046.3,678027534,0.304647218,0.193204128,-0.519264634,0.169249651,0.82418832
BRA,25349245508,43054593723,0.188488326,0.429281191,-0.350032905,0.459373505,-0.028653502
BRB,43114660.86,71868758.58,0.074397436,0.233983983,-0.204626338,0.03883754,0.524328959
BRN,86512597.1,402648380.3,0.292696219,0.71606705,-0.206105563,3.839561883,-0.988002818
BTN,51021830.67,182526562.7,0.317401992,-0.058838004,-0.741466059,0.542304325,2.518018632
BWA,1276430654,1143319368,0.320752754,0.28940112,-0.94884036,0.024639604,0.209762888
CAF,243842832.3,149938444.5,0.34592929,-0.047847275,-0.6579417,0.071424427,-0.096666845
CAN,23656924724,20620814404,0.184537359,0.322887672,-0.32966837,0.057640233,-0.363736074
CHE,12082507909,10789166970,0.163537295,0.18188152,-0.388828853,-0.107976639,0.044344252
CHL,4502270490,12378381523,0.19483826,0.402640924,-0.334440126,0.157144772,1.329180418
CHN,1.71558E+11,1.02279E+12,0.084503318,0.289353124,-0.508954421,0.200920208,4.895982058
CIV,2546381098,3091076855,0.4099059,-0.031018598,-0.822121974,0.10002742,0.557117006
CMR,2189836772,2900352011,0.490568206,-0.018676554,-0.772680156,0.082757262,0.542491607
COD,974313941.9,1519878100,0.66054635,-0.004357672,-1.045933267,0.187183955,0.762507623
COG,931730646.6,964049907.3,0.519335062,0.045544252,-0.889715425,0.165961732,0.193561723
COL,2134643615,6095787472,0.201682106,0.367944732,-0.582551038,0.312455311,1.556115344
COM,814829.984,3876949.95,0.467418908,0.13562365,-0.420857281,4.073647211,-0.497846129
CPV,45847623.61,68293486.57,0.194486358,0.035011577,-0.502246351,-0.083615651,0.845939343
CRI,64614163.92,594490301.7,0.236860198,0.51605417,-0.164963241,6.527925863,1.084741972
CUB,1933161161,3751168623,0.02202746,0.378034226,-0.137319926,-0.360715134,1.038405811
CYP,593758170.3,592694519.5,0.306958093,0.252054604,-0.554502426,-0.074032986,0.067731328
CZE,13712541028,18448204324,0.027494899,0.240421916,-0.385171539,-0.07363906,0.536246501
DEU,1.56165E+11,1.66254E+11,-0.015190964,0.231622676,-0.19889554,-0.086950343,0.134023267
DJI,46717889.52,104395997.7,0.241457102,-0.016219224,-0.61332227,0.219220355,1.403468356
DMA,6613947.173,11340930.05,0.082441197,0.334110638,-0.008679922,0.105337305,0.201490001
DNK,6898230382,6585463228,0.052243493,0.144387359,-0.347891825,0.068019025,0.037901746
DOM,147427581.3,1392225029,0.240117185,0.323865886,0.23222465,10.00124692,-2.354004391
DZA,5488921208,9810495350,0.297605003,0.456328953,-0.637337041,0.198685564,0.472044206
ECU,932312259.3,1988238390,0.295477408,0.226149279,-0.261535253,0.095046095,0.777450957
EGY,18328967255,32764372917,0.364396559,0.138236559,-0.760790293,0.130706494,0.915024006
ERI,332373468.2,365601710.3,0.513642287,0.015180218,-0.90132145,0.115567549,0.356904003
ESP,53068168181,44855430349,0.127549079,0.276621965,-0.357016036,-0.308664166,0.10675089
EST,795336414.5,1054664426,-0.028394369,0.196574249,-0.457225853,-0.069953248,0.685060001
ETH,1519189347,2821108543,0.532399759,-0.100175541,-1.06731715,0.094634451,1.397441319
FIN,4789845042,4825737477,0.066998694,0.253317702,-0.366822177,-0.043589352,0.097588577
FJI,0,0,NA,NA,NA,NA,NA
FRA,88962069570,78153728313,0.09379887,0.240635982,-0.349537412,-0.097533736,-0.00885752
FSM,0,0,NA,NA,NA,NA,NA
GAB,1060115418,1080619325,0.445889376,-0.006750842,-0.673351504,0.358348861,-0.104794688
GBR,94347387962,81378473315,0.109004563,0.133076993,-0.298117455,-0.128981324,0.047558042
GEO,632784971.3,1926534267,-0.168174648,0.183082921,-0.047119584,0.073664927,2.003078657
GHA,1482915011,4074932308,0.487164955,0.06016262,-0.627742106,0.121272496,1.707062365
GIN,693814882.5,794075581.3,0.48095562,-0.07893992,-0.854187502,-0.010305782,0.606983995
GMB,56040814.9,61245570.97,0.683673277,-0.029511886,-0.778838353,0.008528414,0.209022931
GNB,91813474.73,85322152.45,0.43268151,-0.007175699,-0.687385755,-0.045391085,0.236569835
GNQ,205115432,836443720.3,0.631035686,-0.080822059,-0.748329017,0.680084739,2.595947715
GRC,11527914202,13219595463,-0.005422356,0.313270144,-0.21118653,-0.10431682,0.154402079
GRD,2743565.198,6457753.863,0.105058633,0.166678881,0.018003673,0.508697053,0.555343573
GRL,691461.8521,0,0.009043328,0.122011492,-0.304643646,-0.739442438,-0.086968736
