country_abb,age,wealth_ratio_mean,wealth_ratio_lower,wealth_ratio_upper
CAN,20,0.422779166,0.160538493,0.685019839
CAN,25,0.40704608,0.136701453,0.677390707
CAN,30,0.414567872,0.127829046,0.701306698
CAN,35,0.604023392,0.333211846,0.874834939
CAN,40,0.87788496,0.591146134,1.164623786
CAN,45,1.306046774,1.035235227,1.57685832
CAN,50,1.714491636,1.427752811,2.001230462
CAN,55,1.936358633,1.649619807,2.223097459
CAN,60,2.007552186,1.737207559,2.277896813
CAN,65,2.011255514,1.749014841,2.273496187
CAN,70,1.986978725,1.740071855,2.233885594
CAN,75,1.902289291,1.653805725,2.150772856
CAN,80,1.769376473,1.458266485,2.080486461
CAN,85,1.583890722,1.125027675,2.04275377
CHN,20,1.0896127,0.992426599,1.186798802
CHN,25,1.088672981,0.988483563,1.188862399
CHN,30,1.083421922,0.977156832,1.189687012
CHN,35,1.113112133,1.012749675,1.213474591
CHN,40,1.137880294,1.031615205,1.244145384
CHN,45,1.119105266,1.018742809,1.219467724
CHN,50,1.082697845,0.976432756,1.188962935
CHN,55,1.004654359,0.898389269,1.110919449
CHN,60,0.954155962,0.853966544,1.05434538
CHN,65,0.912687237,0.815501136,1.009873339
CHN,70,0.886206122,0.794702711,0.977709533
CHN,75,0.869596212,0.777508479,0.961683945
CHN,80,0.864048743,0.748751728,0.979345759
CHN,85,0.868827968,0.698773833,1.038882103
DEU,20,0.587936406,0.357688579,0.818184232
DEU,25,0.572675711,0.335312596,0.810038825
DEU,30,0.568679219,0.316921966,0.820436473
DEU,35,0.714304129,0.476531058,0.9520772
DEU,40,0.911424977,0.659667723,1.16318223
DEU,45,1.174624909,0.936851838,1.41239798
DEU,50,1.40566826,1.153911007,1.657425514
DEU,55,1.493061741,1.241304487,1.744818994
DEU,60,1.454393158,1.217030044,1.691756273
DEU,65,1.356074902,1.125827076,1.586322729
DEU,70,1.232519585,1.015734867,1.449304302
DEU,75,1.05712277,0.83895371,1.27529183
DEU,80,0.83837475,0.565219568,1.111529931
DEU,85,0.573135845,0.170253186,0.976018503
GBR,20,0.459791217,0.257016056,0.662566379
GBR,25,0.446405391,0.237363922,0.65544686
GBR,30,0.4503656,0.228647469,0.672083731
GBR,35,0.566334421,0.356931911,0.775736932
GBR,40,0.757628307,0.535910176,0.979346438
GBR,45,1.116215771,0.90681326,1.325618282
GBR,50,1.480978366,1.259260235,1.702696497
GBR,55,1.780481018,1.558762887,2.002199149
GBR,60,1.894377801,1.685336332,2.10341927
GBR,65,1.900278739,1.697503578,2.103053901
GBR,70,1.797505712,1.606587271,1.988424153
GBR,75,1.586625468,1.394487861,1.778763075
GBR,80,1.262904869,1.022341964,1.503467774
GBR,85,0.830151228,0.475339643,1.184962813
USA,20,0.374544907,0.163062273,0.58602754
USA,25,0.358857814,0.140839789,0.576875839
USA,30,0.361631628,0.130392586,0.59287067
USA,35,0.509380902,0.290986331,0.727775472
USA,40,0.736403984,0.505164942,0.967643026
USA,45,1.080371921,0.861977351,1.298766492
USA,50,1.451243977,1.220004934,1.682483019
USA,55,1.788884962,1.55764592,2.020124004
USA,60,2.056099502,1.838081477,2.274117527
USA,65,2.262782773,2.05130014,2.474265406
USA,70,2.388413017,2.18929625,2.587529784
USA,75,2.450408008,2.250019722,2.650796293
USA,80,2.440412378,2.189519338,2.691305418
USA,85,2.362682445,1.992634715,2.732730174
